Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Little Mix,Pop,B,Minor,0.183,102.986,2013.0,0.043,0.00183,4.0
Eliana,Pop,A#,Major,0.725,134.938,1993.0,0.0299,3.45e-06,4.0
Jewel,Pop,C,Major,0.203,109.85,1998.0,0.034,2.57e-06,4.0
Olly Murs,Pop,F#,Minor,0.8640000000000001,84.96700000000001,2010.0,0.0459,0.0,4.0
Tracy Chapman,Pop,A,Major,0.501,126.242,1988.0,0.0649,0.000723,4.0
Madonna,Pop,D,Major,0.209,110.934,1989.0,0.281,1.36e-05,4.0
Kelly Clarkson,Pop,A#,Minor,0.314,200.027,2004.0,0.0359,0.0,3.0
Shakira,Pop,C,Major,0.967,126.023,2010.0,0.0756,0.136,4.0
Céline Dion,Pop,G#,Major,0.105,103.927,2016.0,0.0319,0.000224,4.0
Reik,Pop,E,Minor,0.743,108.996,2012.0,0.0449,2.22e-06,4.0
Jennifer Lopez,Pop,G,Major,0.256,84.15100000000002,2007.0,0.0369,1.09e-05,4.0
Rick Springfield,Pop,A,Minor,0.496,128.357,1989.0,0.0343,3.66e-05,4.0
Rick Springfield,Pop,A,Minor,0.426,129.115,2000.0,0.0413,0.0,4.0
Cimorelli,Pop,D#,Major,0.15,94.979,2017.0,0.0367,3.72e-05,4.0
Mariah Carey,Pop,A,Minor,0.159,112.022,1999.0,0.0276,0.00014099999999999998,4.0
Dionne Warwick,Pop,D,Major,0.215,65.833,1979.0,0.0262,4.2100000000000014e-05,4.0
Dionne Warwick,Pop,D,Major,0.238,132.846,2016.0,0.028,0.000179,4.0
Dionne Warwick,Pop,D,Major,0.215,100.394,1979.0,0.028,2.860000000000001e-05,4.0
Christina Grimmie,Pop,C,Major,0.605,122.056,2016.0,0.047,0.0,4.0
Adam Lambert,Pop,E,Major,0.4,149.907,2009.0,0.0414,0.0,4.0
Adam Lambert,Pop,D,Major,0.517,165.338,2010.0,0.034,0.0,4.0
Jennifer Lopez,Pop,F#,Minor,0.234,80.39399999999998,2002.0,0.0398,0.000392,4.0
Mariah Carey,Pop,C#,Major,0.17800000000000002,117.674,1999.0,0.0281,4.09e-06,4.0
Dionne Warwick,Pop,C,Major,0.274,147.21,1993.0,0.0359,2.92e-06,4.0
Jennifer Lopez,Pop,C,Minor,0.569,99.843,2001.0,0.0484,0.000306,4.0
Christina Aguilera,Pop,G,Major,0.501,127.953,2008.0,0.205,0.00561,4.0
Nancy Sinatra,Pop,A#,Minor,0.254,139.287,2009.0,0.03,0.00762,4.0
Westlife,Pop,B,Minor,0.5820000000000001,131.814,2004.0,0.0321,0.0,4.0
Jennifer Lopez,Pop,G#,Minor,0.82,120.075,2016.0,0.233,9.14e-06,4.0
Lily Allen,Pop,G#,Major,0.556,94.976,2014.0,0.0379,0.000434,4.0
Michael Jackson,Pop,B,Minor,0.951,112.279,1987.0,0.0569,0.151,4.0
Dionne Warwick,Pop,A#,Major,0.177,135.372,2005.0,0.033,1.13e-05,4.0
Dionne Warwick,Pop,A#,Major,0.138,79.33800000000002,2016.0,0.0324,0.000755,4.0
Dionne Warwick,Pop,A#,Major,0.138,133.44299999999998,1999.0,0.0349,4.68e-05,4.0
Dionne Warwick,Pop,D#,Major,0.0804,94.244,2006.0,0.0286,3.38e-06,3.0
Eliana,Pop,A#,Major,0.737,125.925,1999.0,0.0327,0.0,4.0
Julieta Venegas,Pop,D,Major,0.754,96.025,2008.0,0.0268,0.0,4.0
Julieta Venegas,Pop,E,Minor,0.365,87.008,2003.0,0.0359,8.48e-05,4.0
Julieta Venegas,Pop,F,Major,0.7140000000000001,94.077,2003.0,0.0374,0.0,4.0
Christopher Cross,Pop,C,Major,0.183,88.213,1988.0,0.0356,0.00015800000000000002,4.0
Neil Sedaka,Pop,F#,Major,0.85,119.855,1999.0,0.039,0.0,4.0
Britney Spears,Pop,C,Major,0.375,111.984,2013.0,0.0314,0.00352,4.0
Sia,Pop,F#,Minor,0.444,99.963,2016.0,0.0489,0.000122,4.0
Sia,Pop,E,Minor,0.228,183.415,2016.0,0.0379,0.00239,4.0
Cher,Pop,A#,Major,0.329,129.967,2005.0,0.0486,0.0,4.0
Meghan Trainor,Pop,A,Major,0.961,134.05200000000002,2015.0,0.0503,2.87e-06,4.0
Prefab Sprout,Pop,C#,Major,0.0661,170.982,1990.0,0.0356,0.181,4.0
Céline Dion,Pop,B,Minor,0.0617,119.703,2000.0,0.0305,0.000127,4.0
Adele,Pop,E,Major,0.343,141.961,2016.0,0.0279,0.0,4.0
Kelly Clarkson,Pop,B,Major,0.696,100.007,2009.0,0.0443,0.0,4.0
Roxette,Pop,C,Major,0.0778,151.42600000000004,2001.0,0.0324,0.00217,1.0
Mariah Carey,Pop,G#,Minor,0.669,98.981,2020.0,0.0433,6.11e-06,4.0
Joni Mitchell,Pop,A#,Major,0.755,153.711,1974.0,0.0419,0.0,4.0
Kelly Clarkson,Pop,A,Major,0.243,113.947,2020.0,0.0354,0.0,3.0
*NSYNC,Pop,G,Major,0.545,95.016,1998.0,0.0258,0.00015,4.0
Fifth Harmony,Pop,G,Major,0.53,151.02,2014.0,0.0472,0.0,4.0
Mariah Carey,Pop,G,Major,0.35,150.273,1994.0,0.0384,0.0,4.0
Mariah Carey,Pop,F#,Major,0.287,150.101,2019.0,0.0642,0.0,4.0
Mariah Carey,Pop,F#,Major,0.366,149.791,2020.0,0.16,0.0,4.0
Mariah Carey,Pop,D,Major,0.135,132.14600000000002,1993.0,0.0284,2.65e-06,4.0
Mariah Carey,Pop,G,Minor,0.741,148.435,1990.0,0.0329,3.2e-06,4.0
Dionne Warwick,Pop,D#,Major,0.199,107.37,2005.0,0.0248,2.26e-05,3.0
Dionne Warwick,Pop,D#,Major,0.189,84.944,2019.0,0.0345,2.410000000000001e-05,5.0
Beyoncé,Pop,B,Major,0.626,136.304,2016.0,0.085,2.1600000000000007e-05,4.0
Christopher Cross,Pop,F#,Minor,0.504,132.752,1983.0,0.0353,0.0,4.0
Don Henley,Pop,G,Major,0.88,114.908,2000.0,0.0298,0.0,4.0
Kesha,Pop,D#,Minor,0.4920000000000001,128.024,2012.0,0.0497,2.03e-05,4.0
Prefab Sprout,Pop,C,Major,0.385,120.286,1990.0,0.0368,0.00251,4.0
Camila Cabello,Pop,C#,Minor,0.475,94.852,2018.0,0.117,0.0,4.0
Cyndi Lauper,Pop,G#,Major,0.329,95.111,2008.0,0.0271,1.01e-06,4.0
Cyndi Lauper,Pop,G#,Major,0.34600000000000003,95.1,1983.0,0.0257,1.58e-06,4.0
Neil Sedaka,Pop,E,Major,0.5529999999999999,203.587,2016.0,0.0476,0.000431,4.0
Savannah Outen,Pop,G#,Minor,0.246,116.951,2013.0,0.0298,0.0,4.0
Tears For Fears,Pop,D,Major,0.87,121.949,1995.0,0.0315,0.631,4.0
Cher,Pop,C,Major,0.39,134.00799999999998,2013.0,0.0296,1.14e-06,4.0
Westlife,Pop,C,Major,0.313,126.944,2006.0,0.0312,0.0,4.0
Dionne Warwick,Pop,E,Major,0.6859999999999999,91.522,1982.0,0.0259,4.320000000000001e-05,4.0
Dionne Warwick,Pop,F,Major,0.0993,50.124,1979.0,0.0327,9.49e-05,4.0
Neil Sedaka,Pop,F,Major,0.0569,168.482,1999.0,0.0341,4.84e-06,5.0
Prefab Sprout,Pop,E,Minor,0.285,120.438,1984.0,0.032,0.00114,4.0
Carole King,Pop,G,Major,0.542,78.727,1975.0,0.0326,0.000107,4.0
Mariah Carey,Pop,A#,Minor,0.573,137.851,1990.0,0.0296,0.0,4.0
Kelly Clarkson,Pop,A,Major,0.294,78.139,2009.0,0.0757,0.0,4.0
PJ Morton,Pop,F,Major,0.753,82.95700000000002,2017.0,0.0473,0.219,4.0
PJ Morton,Pop,D,Minor,0.5539999999999999,95.929,2020.0,0.0416,0.0,4.0
PJ Morton,Pop,A#,Major,0.16899999999999998,102.023,2018.0,0.0635,1.47e-05,5.0
Jamiroquai,Pop,G,Minor,0.498,116.179,1996.0,0.158,0.0,4.0
Jamiroquai,Pop,G,Minor,0.733,105.805,1996.0,0.0598,0.048,4.0
Mariah Carey,Pop,E,Major,0.487,78.949,2001.0,0.0361,0.0,4.0
Mariah Carey,Pop,E,Major,0.599,78.828,2020.0,0.0463,0.0,4.0
Little Mix,Pop,C#,Minor,0.516,99.971,2012.0,0.0364,0.0,4.0
Danni Carlos,Pop,A,Major,0.145,106.998,2003.0,0.0307,0.0,4.0
Dionne Warwick,Pop,C,Major,0.856,92.631,2019.0,0.0894,0.000346,4.0
Pet Shop Boys,Pop,G,Major,0.7609999999999999,124.9,1988.0,0.0484,0.175,4.0
