Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Mac Miller,Hip Hop,G#,Major,0.508,84.931,2020.0,0.419,0.0,4.0
Snoop Dogg,Hip Hop,A#,Minor,0.423,91.608,2001.0,0.312,0.0,4.0
Chris Brown,Hip Hop,A,Minor,0.399,124.317,2014.0,0.0281,0.0,3.0
Cardi B,Hip Hop,B,Minor,0.53,125.057,2018.0,0.108,0.0,4.0
"Luiz, o Visitante",Hip Hop,B,Minor,0.289,135.871,2019.0,0.211,0.0,4.0
Ludmilla,Hip Hop,A#,Minor,0.634,102.981,2019.0,0.0494,4.27e-06,4.0
Black Moon,Hip Hop,F,Minor,0.698,94.072,2005.0,0.0942,0.0,4.0
Black Moon,Hip Hop,A#,Minor,0.8270000000000001,90.641,2005.0,0.274,0.0,4.0
Common,Hip Hop,A#,Minor,0.747,86.2,2007.0,0.303,0.0,4.0
E-40,Hip Hop,C#,Major,0.348,90.05799999999998,1995.0,0.212,0.0,4.0
Wiz Khalifa,Hip Hop,B,Minor,0.6,77.572,2018.0,0.293,1.47e-06,4.0
Soulja Boy,Hip Hop,C,Major,0.379,80.024,2007.0,0.27,2.1e-06,4.0
M.I.A.,Hip Hop,E,Major,0.621,181.679,2001.0,0.053,0.0,4.0
M.I.A.,Hip Hop,E,Major,0.379,103.988,1995.0,0.117,0.0424,4.0
The Game,Hip Hop,A#,Minor,0.379,89.595,2005.0,0.308,0.0,4.0
Will Smith,Hip Hop,G#,Minor,0.4920000000000001,90.954,2002.0,0.258,0.0,4.0
Wyclef Jean,Hip Hop,E,Major,0.35200000000000004,100.201,2017.0,0.0596,0.0,4.0
Tyga,Hip Hop,G#,Major,0.226,172.013,2018.0,0.252,0.000513,4.0
Gucci Mane,Hip Hop,A#,Minor,0.807,114.986,2019.0,0.19,1.92e-06,4.0
Brisco,Hip Hop,A,Major,0.391,163.917,2013.0,0.331,0.0,4.0
Wiz Khalifa,Hip Hop,C,Major,0.7440000000000001,149.994,2006.0,0.324,0.0,4.0
Kreayshawn,Hip Hop,A#,Minor,0.0901,125.09,2019.0,0.0522,0.0138,4.0
Ray J,Hip Hop,D,Minor,0.7759999999999999,98.996,2008.0,0.21,0.0,4.0
M.I.A.,Hip Hop,F#,Minor,0.62,133.13299999999998,2007.0,0.226,1.53e-06,4.0
